,en,cs,pl,de
resetPassword.email,e-mail,e-mail,,
resetPassword.emailInvalid,Invalid email,Neplatný e-mail,,
modules.marketingPage,Marketing page,Marketingová stránka,,
modules.connectWithMrParkit,Connect with Mr. Parkit,Spojte se s MR.PARKIT,,
modules.reservationForm,Reservation form,Rezervační formulář,,
modules.goPublic,Go public,Zveřejněte,,
modules.goPublicDescription,Offer short term parking to PiD community,Nabídněte krátkodobé parkování pro komunitu PiD,,
modules.setting,Settings,Nastavení,,
modules.Preview,Preview,Náhled,,
modules.startingMarketing,Upgrading your billing plan. Redirecting...,Aktualizuji Váš plán fakturace. Přesměrovávám ...,,
newContract.description,New contract in ,Nová dohoda v,,
newContract.selectClient,Select client,Vyberte klienta,,
newContract.invalidToken,Token invalid,,,
newContract.tokenPlaceholder,gaZJBS,gaZJBS,,
newContract.clientNotFound,No client with this token exists,Žádný klient s tímto tokenem neexistuje,,
newContract.selectedPlaces,Selected places,Vybraná místa,,
newContract.noSelectedPlaces,No selected places,Žádná vybraná místa,,
newContract.selectRent,Select rent,Vyberte pronájem,,
newContract.contractPrice,Enter new specific contract price,Zadej novou konkrétní smluvní cenu,,
newContract.priceInvalid,Price invalid,Cena je neplatná,,
newContract.pricePlaceholder,10000,10000,,
newContract.selectCurrency,Select currency,Zvolte měnu,,
finance.paypal,Paypal,Paypal,,
finance.csob,ČSOB,ČSOB,,
finance.csobPayment,ČSOB Payments,ČSOB Platby,,
finance.SelectPrivateKey,Select private key,Vyberte vlastní klíč,,
finance.finanaceSettings,Finanace settings,Nastavení financování,,
finance.vat,Value added tax,Daň z přidané hodnoty,,
finance.invoiceRow,Regular invoice row,Běžný řádek faktur,,
finance.simplyfiedInvoiceRow,Simplyfied invoice row,Jednoduchý řádek faktur,,
finance.invalidVat,Invalid VAT,Neplatné DPH,,
finance.invalidRow,Invalid number,Neplatné číslo,,
finance.changeSuccess,Values were changed sucessfully.,Hodnoty byly úspěšně změněny.,,
finance.changeFailed,"Error occured, values were not changed.","Došlo k chybě, hodnoty se nezměnily.",,
analytics.week,week,týden,,
analytics.month,month,měsíc,,
analytics.turnover,turnover,obrat,,
analytics.average,average,průměrný,,
analytics.reservations,reservations,rezervace,,
analytics.noData,No data to be rendered,Žádná data k poskytnutí,,
activityLog.name,user,uživatel,,
activityLog.email,email,e-mailem,,
activityLog.subject,subject,předmět,,
activityLog.action,action,akce,,
activityLog.createdAt,time,čas,,
dashboard.news,PID news,,,
dashboard.latestActivity,Latest activity,,,
dashboard.currentState,Current state,,,
dashboard.financeOverview,Finance overview,,,
dashboard.occupiedTotal,occupied/total,,,
dashboard.longterm,Longterm,,,
dashboard.visitors,Visitors,,,
dashboard.free,free,,,
dashboard.total,Total,,,
